date_notice,company,workforce_area,event_number,naics,action_type,affected,date_effective,reason,12/16/2020,"Neovia Logistics Services, LLC Southaven (DeSoto)",Delta,RR-MS- 2020-0013,333999 – All Other Miscellaneous General Purpose Machinery Manufacturing,Layoff,80,01/31/2021,WARN – Layoff - change in ownership. RR – provided by email due to COVID - 19,blank_entry,city,county,_int_raw_fields,_int_accuracy,_int_pdf_filename,_int_page,_int_table_number,_int_data_items
11/23/2021,"Culpepper & Associates Security Services, Inc. Biloxi (Harrison)",Twin District,RR-MS- 2021-002,561612 – Security Guards and Patrol Services,Layoff,16,11/23/2021,,,,,,,,,,,NON-WARN - Due to a reduction in workforce by a contract,,,"['11/23/2021', 'Culpepper & \nAssociates Security \nServices, Inc. \nBiloxi (Harrison)', 'Twin \nDistrict', 'RR-MS-\n2021-002', '561612 – Security \nGuards and Patrol \nServices', 'Layoff', '16', '11/23/2021', 'NON-WARN - Due to \na reduction in \nworkforce by a contract', '']",100.0,warn-py2021-qtr-2-oct-dec-2021.pdf,1,1,9
12/10/2021,"MAP of Easton, Inc. Clarksdale (Coahoma)",Delta,RR-MS- 2021-003,327993 – Mineral Wool Manufacturing,Closure,50,12/31/2021,,,,,,,,,,,WARN -Due to economic circumstances – Permanently Closed,,,"['12/10/2021', 'MAP of Easton, Inc. \nClarksdale \n(Coahoma)', 'Delta', 'RR-MS-\n2021-003', '327993 – Mineral \nWool Manufacturing', 'Closure', '50', '12/31/2021', 'WARN -Due to \neconomic circumstances \n– Permanently Closed', '']",100.0,warn-py2021-qtr-2-oct-dec-2021.pdf,1,1,9
01/06/2022,"Five Below, Inc. Olive Branch (DeSoto)",MS. Partnership,RR-MS 2021- 0004,452139 – All other General Merchandise Stores,Closure,69,,WARN- Permanently closing due to reduction in force,,,,,,,,,,,,,"['01/06/2022', 'Five Below, Inc. \nOlive Branch \n(DeSoto)', 'MS. \nPartnership', 'RR-MS \n2021-\n0004', '452139 – All other \nGeneral Merchandise \nStores', 'Closure', '69', '', 'WARN- \nPermanently closing \ndue to reduction in \nforce']",100.0,warn-py2021-qtr-3-jan-mar-2022.pdf,1,1,8
01/14/2022,NFI – National Freight Incorporated Meridian (Lauderdale),Twin District,RR-MS- 2021- 0005,484110- General Freight Trucking,Closure,91,03/17/22,WARN – Permanently closing due to lack of services under its contact,,,,,,,,,,,,,"['01/14/2022', 'NFI – National \nFreight \nIncorporated \nMeridian \n(Lauderdale)', 'Twin \nDistrict', 'RR-MS-\n2021-\n0005', '484110- General \nFreight Trucking', 'Closure', '91', '03/17/22', 'WARN – \nPermanently closing \ndue to  lack of  \nservices under its \ncontact']",100.0,warn-py2021-qtr-3-jan-mar-2022.pdf,1,1,9
01/10/2022,"Express Grain Terminals, LLC. Greenwood (Leflore)",Delta,RR-MS- 2021- 0006,424510 – Gain and Field Bean Merchant Wholesalers,Closure,128,01/28/2022,WARN – Due to the company has made the decision to discontinue production,,,,,,,,,,,,,"['01/10/2022', 'Express Grain \nTerminals, LLC. \nGreenwood \n(Leflore)', 'Delta', 'RR-MS-\n2021-\n0006', '424510 – Gain and \nField Bean Merchant \nWholesalers', 'Closure', '128', '01/28/2022', 'WARN – Due to the \ncompany has made \nthe decision to \ndiscontinue \nproduction']",100.0,warn-py2021-qtr-3-jan-mar-2022.pdf,1,1,9
06/01/2022,Sears Waynesboro (Wayne),Twin District,RR-MS 2021- 0007,,Closure,4,,Non-WARN- Permanently closing due to economy.,,,,,,,,,,,,,"['06/01/2022', 'Sears \nWaynesboro (Wayne)', 'Twin \nDistrict', 'RR-MS 2021-\n0007', 'Closure', '4', 'Non-WARN- Permanently closing \ndue to economy.']",100.0,warn-py2021-qtr-4-apr-june-2022.pdf,1,1,7
06/13/2022,"FXI, Inc. Coldwater (Tate)",MS Partnership,RR-MS-2021- 0008,,Layoff,100,,WARN – Due to the downturn in the economy.,,,,,,,,,,,,,"['06/13/2022', 'FXI, Inc. \nColdwater (Tate)', 'MS \nPartnership', 'RR-MS-2021-\n0008', 'Layoff', '100', 'WARN –  Due to the downturn in the \neconomy.']",100.0,warn-py2021-qtr-4-apr-june-2022.pdf,1,1,7
6/20/2022,Southern Motion Pontotoc (Pontotoc),MS Partnership,RR-MS-2021- 0009,,Layoff,86,,Non-WARN – Due to the downturn in the economy,,,,,,,,,,,,,"['6/20/2022', 'Southern Motion \nPontotoc (Pontotoc)', 'MS \nPartnership', 'RR-MS-2021-\n0009', 'Layoff', '86', 'Non-WARN – Due to the downturn \nin the economy']",100.0,warn-py2021-qtr-4-apr-june-2022.pdf,1,1,7
06/20/2022,Fusion Ecru (Pontotoc),MS Partnership,RR-MS-2021- 0010,,Layoff,55,,Non-WARN- Due to the downturn in the economy,,,,,,,,,,,,,"['06/20/2022', 'Fusion \nEcru (Pontotoc)', 'MS \nPartnership', 'RR-MS-2021-\n0010', 'Layoff', '55', 'Non-WARN- Due to the downturn in \nthe economy']",100.0,warn-py2021-qtr-4-apr-june-2022.pdf,1,1,7
5/23/2022,Armstrong Flooring Jackson (Hinds),Southcentral MS Works,RR-MS- 2021- 0011,326199 – All other Plastics Product Manufacturing,Closure,109,7/27/2022,WARN – Permanently closing due to economy.,,,,,,,,,,,,,"['5/23/2022', 'Armstrong \nFlooring \nJackson (Hinds)', 'Southcentral \nMS Works', 'RR-MS-\n2021-\n0011', '326199 – All other \nPlastics Product \nManufacturing', 'Closure', '109', '7/27/2022', 'WARN – Permanently \nclosing due to economy.']",100.0,warn-py2022-quarter-1-july-sept-2022.pdf,1,1,9
06/30/2022,United Furniture Industries Amory (Monroe),MS Partnership,RR-MS- 2021- 0012,44211 – Furniture Stores,Layoff,171,07/27/2022,WARN – Due to downturn in the economy.,,,,,,,,,,,,,"['06/30/2022', 'United Furniture \nIndustries \nAmory (Monroe)', 'MS \nPartnership', 'RR-MS-\n2021-\n0012', '44211 – Furniture \nStores', 'Layoff', '171', '07/27/2022', 'WARN – Due to \ndownturn in the \neconomy.']",100.0,warn-py2022-quarter-1-july-sept-2022.pdf,1,1,9
7/1/2022,McKesson Corporation – South Jackson Richland (Rankin),Southcentral MS Works,RR-MS 2022- 0001,"423450 – Medical, Dental, and Hospital Equipment and Supplies Merchant",Closure,26,07/29/2022,WARN- Permanently closing due to economy.,,,,,,,,,,,,,"['7/1/2022', 'McKesson \nCorporation – \nSouth Jackson \nRichland (Rankin)', 'Southcentral \nMS Works', 'RR-MS \n2022-\n0001', '423450 – Medical, \nDental, and \nHospital \nEquipment and \nSupplies Merchant', 'Closure', '26', '07/29/2022', 'WARN- Permanently \nclosing due to economy.']",100.0,warn-py2022-quarter-1-july-sept-2022.pdf,1,1,9
