Company,Date,PDF url,location,jobs
Aston Waikiki Beach Hotel,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Aston-Waikiki-Beach-Hotel.pdf,,
Courtyard by Marriiott Waikiki Beach,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Courtyard-by-Marriott-Waikiki-Beach.pdf,,
Grand Hyatt Kauai Resort & Spa,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Grand-Hyatt-Kauai-Resort-Spa.pdf,,
"*Grand Hyatt Kauai Resort & Spa Amendment October 30, 2020","*Grand Hyatt Kauai Resort & Spa Amendment October 30, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.02-Grand-Hyatt-Kauai-Resort-Spa-Amendment.pdf,,
"*Grand Hyatt Kauai Resort & Spa Amendment #2 August 13, 2021","*Grand Hyatt Kauai Resort & Spa Amendment #2 August 13, 2021",https://labor.hawaii.gov/wdc/files/2021/08/20210806-WARN-Grand-Hyatt-Kauai-Resort-Spa-1.pdf,,
Hilton Waikiki Beach,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Hilton-Waikiki-Beach_redacted.pdf,,
Park Shore Waikiki,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Park-Shore-Wakiki.pdf,,
Sheraton Kona Resort & Spa at Keauhou Bay,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Sheraton-Kona-Resort-Spa-at-Keauhou-Bay.pdf,,
Team Clean Inc.,"June 12, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.12-Team-Clean-Inc.pdf,,
Adventist Health Castle,"June 15, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.15-Adventist-Health-Castle_redacted.pdf,,
Ritz Carlton Kapalua,"June 15, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.15-Ritz-Carlton-Kapalua.pdf,,
Foodland Kauai,"June 16, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.16-Foodland-Kauai.pdf,,
TMobile,"June 17, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.17-TMobile.pdf,,
JTB Hawaii Group Companies,"June 19, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.19-JTB-Hawaii-Group-Companies.pdf,,
Trump International Hotel Waikiki,"June 22, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.22-Trump-International-Hotel-Waikiki.pdf,,
Hertz,"June 23, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.23-Hertz.pdf,,
Andaz Maui Wailea,"June 24, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.24-Andaz-Maui-Wailea.pdf,,
Four Seasons Resort Wailea,"June 24, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.24-Four-Seasons-Resort-Wailea.pdf,,
Hyatt Regency Waikiki,"June 25, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.25-Hyatt-Regency-Waikiki.pdf,,
"*Hyatt Regency Waikiki Update December 14, 2020","*Hyatt Regency Waikiki Update December 14, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.14-Hyatt-Corp-Hyatt-Regency-Waikiki.pdf,,
Hyatt Regency Maui Resort & Spa,"June 26, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.26-Hyatt-Regency-Maui-Resort-Spa.pdf,,
Four Seasons Resort Hualala,"June 29, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.29-Four-Seasons-Resort-Hualala.pdf,,
Ruth Chris Steak House Maui,"June 30, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.30-Ruth-Chris-Steak-House-Maui.pdf,,
Sun Noodle,"June 30, 2020",https://labor.hawaii.gov/wdc/files/2020/06/WARN-2020.06.30-Sun-Noodle.pdf,,
TMobile,"July 2, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.02-TMobile.pdf,,
DFS Group LP,"July 2, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.02-DFS-Group-LP.pdf,,
The Maintenance Group LLC,"July 2, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.02-The-Maintenance-Group-LLC.pdf,,
The Laylow Waikiki,"July 6, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.06-The-Laylow-Waikiki.pdf,,
Hilton Grand Vacations Honolulu,"July 8, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.08-Hilton-Grand-Vacations-Honolulu.pdf,,
Hilton Grand Vacations Waikoloa,"July 8, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.08-Hilton-Grand-Vacations-Waikoloa.pdf,,
United Airlines,"July 8, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.08-United-Airlines.pdf,,
CareResource Hawaii Maui,"July 10, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.08-CareResource-Hawaii-Maui.pdf,,
Hyatt Centric Waikiki Beach,"July 10, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.10-Hyatt-Centric-Waikiki-Beach.pdf,,
