action,address,city,company,county,date_close,date_start,extras,includes,jobs,link,reason,titles
Layoff,,"Lansing, Michigan",Lansing Entertainment and Public Facilities Authority (LEPFA),Ingham,,"August 30, 2025",Layoff 2025 Ingham,,181,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-06-27_WARN-Notice_LEPFA-Combined-Updated.pdf?rev=192ab9d1c5ab49a8aacf9d4298f50a0c,,
Multiple facility closures,,"Statewide, multiple locations","TerrAscend Corp. (DBA: Gage Cannabis, Cookies, Lemonade and Pinnacle Emporium)","Statewide, multiple locations",,"August 31, 2025",Closure 2025 Statewide,,236,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-06-30_WARN-Notice_TerrAscend.pdf?rev=191aed193b5c4c78bab3da045e77ae87,,
Facility closure,,"Highland, Michigan",Oldcastle Building Envelope DBA Midwest Glass,Oakland,,"August 18, 2025",Closure 2025 Oakland,,124,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-06-10_WARN-Notice_Oldcastle-Building-Envelope-DBA-Midwest-Glass.pdf?rev=829d36c8dfd84af6abf198f7aea6cf27,,
Mass layoff,,"Livonia, Michigan",Pratt (Classic Container) Inc.,Wayne,,"August 10, 2025",Layoff 2025 Wayne,,53,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-06-10_WARN-Notice_Pratt-Classic-Container-Inc.pdf?rev=af03e86c1f1f44f285d14f52efd71e7d,,
Company closure,,"Grand Rapids, Michigan",LACROIX Electronics,Kent,,Commencing June 2025,Closure 2025 Kent,,115,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-15_WARN-Notice_LACROIX-Electronics.pdf?rev=9c5c09110e5b458b8c334a25c3e0508b,,
Facility closure,,"Troy, Michigan","GMRI, Inc. DBA Bahama Breeze",Oakland,,"May 15, 2025",Closure 2025 Oakland,,70,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-15_WARN-Notice_Bahama-Breeze-Troy.pdf?rev=7097b1f9b51147d4ba21f5fcbb43d389,,
Layoff,,"Troy, Michigan","Flagstar Bank, N.A.",Oakland,,"June 30, 2025",Layoff 2025 Oakland,,12,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-13_WARN-Notice_Flagstar-Bank-Troy.pdf?rev=7592e670b23e42c8b4b2e2809bcc49fd,,
Facility closure,,"Romulus, Michigan","Panera, LLC Fresh Dough Facility",Wayne,,7/23/2025,Closure 2025 Wayne,,66,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-13_WARN-Notice_Panera-LLC-Romulus.pdf?rev=98487b8fe640474093d73ef3141b1bc6,,
Permanent layoff,,,"Compass Group USA, Inc.",,,"July 1, 2025","Site!!!City!!!County!!!Ascension Borgess Allegan Hospital!!!Allegan, Michigan!!!Allegan!!!Ascension Borgess-Pipp Hospital!!!Plainwell, Michigan!!!Allegan!!!Ascension Borgess-Lee Hospital!!!Dowagiac, Michigan!!!Cass!!!Ascension Borgess Hospital!!!Kalamazoo, Michigan!!!Kalamazoo!!!Ascension Borgess Health & Fitness Center!!!Kalamazoo, Michigan!!!Kalamazoo!!!!!!!!!Layoff 2025 Allegan Cass Kalamazoo",,244,https://www.michigan.gov,,
Permanent layoff,,"Sterling Heights, Michigan and Livonia, Michigan","Quality Metalcraft, Inc.","Macomb, Wayne",,"Beginning April 21, 2025",Layoff 2025 Macomb Wayne,,41,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-08_WARN-Notice_Quality-Metalcraft.pdf?rev=8292cf9a48d541b7a7f5d759196f0c55,,
Closure,,"Sterling Heights, Michigan",Gannett Publishing,Macomb,,"Beginning July 7, 2025",Closure 2025 Macomb,,109,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-05-01_WARN-Notice_Gannett-Publishing.pdf?rev=e4f7c5fe33ff403dbf107e5e34a40822,,
