Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Gray & Associates,New Berlin,28,4/3/2020,WR,04/03/2020,Offices of Lawyers,Waukesha,WOW
La Crosse Area Family YMCA,"La Crosse, Onalaska",562,4/3/2020,WR,03/18/2020,Civic & Social Organizations,La Crosse,Western
eImprovement LLC,Pleasant Prairie,60,4/3/2020,CL,04/30/2020,Electronic Shopping and Mail-Order Houses,Kenosha,Southeast
PC/Nametag Inc.,Verona,46,4/3/2020,WR,04/06/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
PC/Nametag Inc. - Revision 1,Verona,33,7/31/2020,AW,04/06/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
PC/Nametag Inc. - Revision 2,Verona,33,8/3/2020,LS,04/06/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
Spectra Food Services and Hospitality,Baraboo,172,4/6/2020,CL,03/26/2020,Food Service Contractors,Sauk,South Central
Spectra Food Services and Hospitality - Revision 1,"Baraboo, Black River Falls, Wittenberg",274,6/22/2020,"LS, AW",3/26/2020,Food Service Contractors,"Jackson, Sauk, Shawano","Western, South Central, Bay Area"
Chapter 2 Inc.,Lake Mills,26,4/6/2020,WR,04/03/2020,Special Tool Die Jig & Fixture Mfg,Jefferson,South Central
"Van's Supply & Equipment, Inc.",Green Bay,37,4/6/2020,WR,03/29/2020,New Car Dealers,Brown,Bay Area
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,4/6/2020,CL,03/17/2020,Civic & Social Organizations,"Waukesha, Milwaukee","WOW, Milwaukee"
YMCA of Dodge County,Beaver Dam,89,4/6/2020,WR,03/16/2020,Civic & Social Organizations,Dodge,South Central
Uncle Julio's,Brookfield,93,4/6/2020,CL,03/19/2020,Full-service restaurants,Waukesha,WOW
Woodson YMCA,Wausau,300,4/6/2020,CL,03/17/2020,Fitness & Recreational Sports Centers,Marathon,North Central
Geneva Lakes Family YMCA,Lake Geneva,117,4/6/2020,WR,03/17/2020,Civic & Social Organizations,Walworth,Southeast
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,4/6/2020,CL,03/25/2020,Hobby Toy & Game Stores,"Barron, Brown, Dane, Eau Claire, Kenosha, La Crosse, Manitowoc, Marathon, Milwaukee, Oneida, Outagamie, Racine, Rock, Washington, Winnebago","Bay Area, Fox Valley, Milwaukee, North Central, South Central, Southeast, Southwest, WOW, West Central, Western"
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,4/6/2020,WR,03/15/2020,Civic & Social Organizations,"Brown, Oconto, Door",Bay Area
Manitowoc-Two Rivers YMCA,Manitowoc,219,4/7/2020,CL,04/06/2020,Civic & Social Organizations,Manitowoc,Bay Area
Advanced Pain Management,Greenfield,50,4/7/2020,WR,05/01/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management - Revision 1,Greenfield,50,5/14/2020,LS,05/01/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management - Revision 2,Greenfield,56,6/5/2020,AW,05/01/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management - Revision 3,Greenfield,59,7/28/2020,"AW, LS",09/25/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management LLC - Revision 4,"Appleton, Greenfield, Kenosha, Madison, Milwaukee, Mount Pleasant, Prairie du Sac, Sheboygan, West Bend",238,9/25/2020,"CL, AW, LS",10/31/2020,Offices of Physicians exc Mental Health,"Dane, Kenosha, Milwaukee, Outagamie, Racine, Sauk, Washington","Bay Area, Milwaukee, South Central, Southeast, WOW"
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,4/7/2020,CL,03/19/2020,Civic & Social Organizations,"Chippewa, Eau Claire",West Central
